Référence;Désignation;Famille;Type;Fournisseur;Utilisateur;Code barre;N° série;Informations;Site;Date de livraison
TABLREUPLIROUL1600P7, TABLREUPLIROUL1600P7, Table de réunion pliable, abattante à rouletteL.160 cm P.70 cm;TABLREUPLIROUL1600P7, Table de réunion pliable, abattante à rouletteL.160 cm P.70 cm;Mobilier de bureau;Table.;EquipBuro;;28019;;"Table abattante sur roulettes
L 160 x P 70 x H 76 cm
Plateau mélaminé ép. 25 mm
Kit de 4 connecteurs inclus
Piétement Y métallique
Avec Voile de fond";25\BESANCON\Siege\VIOTTE;
TABLREUPLIROUL1600P7, TABLREUPLIROUL1600P7, Table de réunion pliable, abattante à rouletteL.160 cm P.70 cm;TABLREUPLIROUL1600P7, Table de réunion pliable, abattante à rouletteL.160 cm P.70 cm;Mobilier de bureau;Table.;EquipBuro;;28020;;"Table abattante sur roulettes
L 160 x P 70 x H 76 cm
Plateau mélaminé ép. 25 mm
Kit de 4 connecteurs inclus
Piétement Y métallique
Avec Voile de fond";25\BESANCON\Siege\VIOTTE;
TABLREUPLIROUL1600P7, TABLREUPLIROUL1600P7, Table de réunion pliable, abattante à rouletteL.160 cm P.70 cm;TABLREUPLIROUL1600P7, Table de réunion pliable, abattante à rouletteL.160 cm P.70 cm;Mobilier de bureau;Table.;EquipBuro;;28021;;"Table abattante sur roulettes
L 160 x P 70 x H 76 cm
Plateau mélaminé ép. 25 mm
Kit de 4 connecteurs inclus
Piétement Y métallique
Avec Voile de fond";25\BESANCON\Siege\VIOTTE;
TABLREUPLIROUL1600P7, TABLREUPLIROUL1600P7, Table de réunion pliable, abattante à rouletteL.160 cm P.70 cm;TABLREUPLIROUL1600P7, Table de réunion pliable, abattante à rouletteL.160 cm P.70 cm;Mobilier de bureau;Table.;EquipBuro;;28022;;"Table abattante sur roulettes
L 160 x P 70 x H 76 cm
Plateau mélaminé ép. 25 mm
Kit de 4 connecteurs inclus
Piétement Y métallique
Avec Voile de fond";25\BESANCON\Siege\VIOTTE;
TABLREUPLIROUL1600P7, TABLREUPLIROUL1600P7, Table de réunion pliable, abattante à rouletteL.160 cm P.70 cm;TABLREUPLIROUL1600P7, Table de réunion pliable, abattante à rouletteL.160 cm P.70 cm;Mobilier de bureau;Table.;EquipBuro;;28023;;"Table abattante sur roulettes
L 160 x P 70 x H 76 cm
Plateau mélaminé ép. 25 mm
Kit de 4 connecteurs inclus
Piétement Y métallique
Avec Voile de fond";25\BESANCON\Siege\VIOTTE;
TABLREUPLIROUL1600P7, TABLREUPLIROUL1600P7, Table de réunion pliable, abattante à rouletteL.160 cm P.70 cm;TABLREUPLIROUL1600P7, Table de réunion pliable, abattante à rouletteL.160 cm P.70 cm;Mobilier de bureau;Table.;EquipBuro;;28024;;"Table abattante sur roulettes
L 160 x P 70 x H 76 cm
Plateau mélaminé ép. 25 mm
Kit de 4 connecteurs inclus
Piétement Y métallique
Avec Voile de fond";25\BESANCON\Siege\VIOTTE;
TABLREUPLIROUL1600P7, TABLREUPLIROUL1600P7, Table de réunion pliable, abattante à rouletteL.160 cm P.70 cm;TABLREUPLIROUL1600P7, Table de réunion pliable, abattante à rouletteL.160 cm P.70 cm;Mobilier de bureau;Table.;EquipBuro;;28025;;"Table abattante sur roulettes
L 160 x P 70 x H 76 cm
Plateau mélaminé ép. 25 mm
Kit de 4 connecteurs inclus
Piétement Y métallique
Avec Voile de fond";25\BESANCON\Siege\VIOTTE;
TABLREUPLIROUL1600P7, TABLREUPLIROUL1600P7, Table de réunion pliable, abattante à rouletteL.160 cm P.70 cm;TABLREUPLIROUL1600P7, Table de réunion pliable, abattante à rouletteL.160 cm P.70 cm;Mobilier de bureau;Table.;EquipBuro;;28026;;"Table abattante sur roulettes
L 160 x P 70 x H 76 cm
Plateau mélaminé ép. 25 mm
Kit de 4 connecteurs inclus
Piétement Y métallique
Avec Voile de fond";25\BESANCON\Siege\VIOTTE;
TABLREUPLIROUL1600P7, TABLREUPLIROUL1600P7, Table de réunion pliable, abattante à rouletteL.160 cm P.70 cm;TABLREUPLIROUL1600P7, Table de réunion pliable, abattante à rouletteL.160 cm P.70 cm;Mobilier de bureau;Table.;EquipBuro;;28027;;"Table abattante sur roulettes
L 160 x P 70 x H 76 cm
Plateau mélaminé ép. 25 mm
Kit de 4 connecteurs inclus
Piétement Y métallique
Avec Voile de fond";25\BESANCON\Siege\VIOTTE\2eme etage\201 - Salle de réunion;
TABLREUPLIROUL1600P7, TABLREUPLIROUL1600P7, Table de réunion pliable, abattante à rouletteL.160 cm P.70 cm;TABLREUPLIROUL1600P7, Table de réunion pliable, abattante à rouletteL.160 cm P.70 cm;Mobilier de bureau;Table.;EquipBuro;;28028;;"Table abattante sur roulettes
L 160 x P 70 x H 76 cm
Plateau mélaminé ép. 25 mm
Kit de 4 connecteurs inclus
Piétement Y métallique
Avec Voile de fond";25\BESANCON\Siege\VIOTTE\2eme etage\201 - Salle de réunion;
TABLREUPLIROUL1600P7, TABLREUPLIROUL1600P7, Table de réunion pliable, abattante à rouletteL.160 cm P.70 cm;TABLREUPLIROUL1600P7, Table de réunion pliable, abattante à rouletteL.160 cm P.70 cm;Mobilier de bureau;Table.;EquipBuro;;28029;;"Table abattante sur roulettes
L 160 x P 70 x H 76 cm
Plateau mélaminé ép. 25 mm
Kit de 4 connecteurs inclus
Piétement Y métallique
Avec Voile de fond";25\BESANCON\Siege\VIOTTE\2eme etage\201 - Salle de réunion;
TABLREUPLIROUL1600P7, TABLREUPLIROUL1600P7, Table de réunion pliable, abattante à rouletteL.160 cm P.70 cm;TABLREUPLIROUL1600P7, Table de réunion pliable, abattante à rouletteL.160 cm P.70 cm;Mobilier de bureau;Table.;EquipBuro;;28030;;"Table abattante sur roulettes
L 160 x P 70 x H 76 cm
Plateau mélaminé ép. 25 mm
Kit de 4 connecteurs inclus
Piétement Y métallique
Avec Voile de fond";25\BESANCON\Siege\VIOTTE\2eme etage\201 - Salle de réunion;
TABLREUPLIROUL1600P7, TABLREUPLIROUL1600P7, Table de réunion pliable, abattante à rouletteL.160 cm P.70 cm;TABLREUPLIROUL1600P7, Table de réunion pliable, abattante à rouletteL.160 cm P.70 cm;Mobilier de bureau;Table.;EquipBuro;;28031;;"Table abattante sur roulettes
L 160 x P 70 x H 76 cm
Plateau mélaminé ép. 25 mm
Kit de 4 connecteurs inclus
Piétement Y métallique
Avec Voile de fond";25\BESANCON\Siege\VIOTTE\2eme etage\201 - Salle de réunion;
TABLREUPLIROUL1600P7, TABLREUPLIROUL1600P7, Table de réunion pliable, abattante à rouletteL.160 cm P.70 cm;TABLREUPLIROUL1600P7, Table de réunion pliable, abattante à rouletteL.160 cm P.70 cm;Mobilier de bureau;Table.;EquipBuro;;28032;;"Table abattante sur roulettes
L 160 x P 70 x H 76 cm
Plateau mélaminé ép. 25 mm
Kit de 4 connecteurs inclus
Piétement Y métallique
Avec Voile de fond";25\BESANCON\Siege\VIOTTE\2eme etage\201 - Salle de réunion;
TABLREUPLIROUL1400P7, TABLREUPLIROUL1400P7, Table de réunion pliable, abattante à rouletteL.140 cm P.70 cm;TABLREUPLIROUL1400P7, Table de réunion pliable, abattante à rouletteL.140 cm P.70 cm;Mobilier de bureau;Table.;EquipBuro;;28033;;"Table abattante sur roulettes
L 140 x P 70 x H 76 cm
Plateau mélaminé ép. 25 mm
Kit de 4 connecteurs inclus
Piétement Y métallique
Avec Voile de fond";25\BESANCON\Siege\VIOTTE;
TABLREUPLIROUL1400P7, TABLREUPLIROUL1400P7, Table de réunion pliable, abattante à rouletteL.140 cm P.70 cm;TABLREUPLIROUL1400P7, Table de réunion pliable, abattante à rouletteL.140 cm P.70 cm;Mobilier de bureau;Table.;EquipBuro;;28034;;"Table abattante sur roulettes
L 140 x P 70 x H 76 cm
Plateau mélaminé ép. 25 mm
Kit de 4 connecteurs inclus
Piétement Y métallique
Avec Voile de fond";25\BESANCON\Siege\VIOTTE;
TABLREUPLIROUL1400P7, TABLREUPLIROUL1400P7, Table de réunion pliable, abattante à rouletteL.140 cm P.70 cm;TABLREUPLIROUL1400P7, Table de réunion pliable, abattante à rouletteL.140 cm P.70 cm;Mobilier de bureau;Table.;EquipBuro;;28035;;"Table abattante sur roulettes
L 140 x P 70 x H 76 cm
Plateau mélaminé ép. 25 mm
Kit de 4 connecteurs inclus
Piétement Y métallique
Avec Voile de fond";25\BESANCON\Siege\VIOTTE;
TABLREUPLIROUL1400P7, TABLREUPLIROUL1400P7, Table de réunion pliable, abattante à rouletteL.140 cm P.70 cm;TABLREUPLIROUL1400P7, Table de réunion pliable, abattante à rouletteL.140 cm P.70 cm;Mobilier de bureau;Table.;EquipBuro;;28036;;"Table abattante sur roulettes
L 140 x P 70 x H 76 cm
Plateau mélaminé ép. 25 mm
Kit de 4 connecteurs inclus
Piétement Y métallique
Avec Voile de fond";25\BESANCON\Siege\VIOTTE;
TABLREUPLIROUL1400P7, TABLREUPLIROUL1400P7, Table de réunion pliable, abattante à rouletteL.140 cm P.70 cm;TABLREUPLIROUL1400P7, Table de réunion pliable, abattante à rouletteL.140 cm P.70 cm;Mobilier de bureau;Table.;EquipBuro;;28037;;"Table abattante sur roulettes
L 140 x P 70 x H 76 cm
Plateau mélaminé ép. 25 mm
Kit de 4 connecteurs inclus
Piétement Y métallique
Avec Voile de fond";25\BESANCON\Siege\VIOTTE;
